Municipio;¡rea;AÒo
MONIQUIR¡;0,121446;2015
MONIQUIR¡;0,210699;2015
MONIQUIR¡;0,50321;2015
MONIQUIR¡;0,060898;2015
MONIQUIR¡;0,060898;2015
MONIQUIR¡;0,966289;2015
MONIQUIR¡;0,0609;2015
MONIQUIR¡;0,210702;2015
MONIQUIR¡;0,060898;2015
MONIQUIR¡;0,0609;2015
MONIQUIR¡;0,194913;2015
MONIQUIR¡;0,0609;2015
MONIQUIR¡;0,0609;2015
MONIQUIR¡;0,0609;2015
MONIQUIR¡;0,0609;2015
MONIQUIR¡;0,183628;2015
MONIQUIR¡;0,239008;2015
MONIQUIR¡;0,121454;2015
MONIQUIR¡;0,183593;2015
MONIQUIR¡;0,120055;2015
MONIQUIR¡;0,183609;2015
MONIQUIR¡;0,060908;2015
MONIQUIR¡;0,060908;2015
MONIQUIR¡;0,120067;2015
MONIQUIR¡;1,465719;2015
MONIQUIR¡;0,120067;2015
MONIQUIR¡;0,247847;2015
MUZO;0,178387;2015
MUZO;0,121519;2015
MUZO;0,456392;2015
MUZO;0,239166;2015
NOBSA;0,100482;2015
NOBSA;0,408948;2015
NOBSA;0,06093;2015
NOBSA;0,327105;2015
NOBSA;0,756164;2015
NOBSA;0,178401;2015
NOBSA;0,06093;2015
NOBSA;0,609751;2015
NOBSA;0,060932;2015
NOBSA;0,120114;2015
NOBSA;0,23915;2015
NUEVO COL”N;0,120158;2015
OICAT¡;0,120119;2015
OICAT¡;0,120121;2015
OICAT¡;0,391783;2015
OICAT¡;1,578753;2015
OICAT¡;0,198309;2015
OICAT¡;1,025061;2015
OICAT¡;0,060937;2015
OICAT¡;0,060937;2015
OICAT¡;0,420353;2015
OICAT¡;0,121533;2015
OICAT¡;0,060938;2015
OTANCHE;0,121433;2015
OTANCHE;0,239004;2015
OTANCHE;0,060897;2015
OTANCHE;0,121459;2015
OTANCHE;0,056956;2015
OTANCHE;2,518972;2015
OTANCHE;1,429218;2015
OTANCHE;0,533649;2015
OTANCHE;1,969728;2015
OTANCHE;0,503268;2015
OTANCHE;0,404495;2015
OTANCHE;0,060898;2015
OTANCHE;0,292826;2015
OTANCHE;0,800509;2015
OTANCHE;0,208746;2015
OTANCHE;0,503296;2015
OTANCHE;0,858374;2015
OTANCHE;0,53368;2015
OTANCHE;0,120049;2015
OTANCHE;0,178308;2015
OTANCHE;0,824148;2015
OTANCHE;0,121456;2015
OTANCHE;0,300245;2015
OTANCHE;0,427307;2015
OTANCHE;0,060903;2015
OTANCHE;0,060903;2015
OTANCHE;0,23903;2015
OTANCHE;0,060903;2015
OTANCHE;0,060903;2015
OTANCHE;0,584869;2015
OTANCHE;0,178312;2015
OTANCHE;0,060904;2015
OTANCHE;0,060904;2015
OTANCHE;0,060904;2015
OTANCHE;0,464115;2015
OTANCHE;0,326966;2015
OTANCHE;0,088951;2015
OTANCHE;0,121452;2015
OTANCHE;0,12146;2015
OTANCHE;0,060905;2015
OTANCHE;0,056964;2015
OTANCHE;0,060905;2015
OTANCHE;0,060905;2015
OTANCHE;0,315013;2015
OTANCHE;0,239036;2015
OTANCHE;2,225628;2015
OTANCHE;1,071363;2015
OTANCHE;0,121454;2015
OTANCHE;0,037395;2015
OTANCHE;0,334228;2015
OTANCHE;0,121454;2015
OTANCHE;0,121454;2015
OTANCHE;0,120057;2015
OTANCHE;0,284556;2015
OTANCHE;0,060906;2015
OTANCHE;1,236007;2015
OTANCHE;0,475157;2015
OTANCHE;0,120059;2015
OTANCHE;0,060907;2015
OTANCHE;0,060907;2015
OTANCHE;1,803281;2015
OTANCHE;0,895708;2015
OTANCHE;0,573914;2015
OTANCHE;0,627843;2015
OTANCHE;0,120061;2015
OTANCHE;0,060908;2015
OTANCHE;0,206088;2015
OTANCHE;0,120063;2015
OTANCHE;0,060909;2015
OTANCHE;0,120063;2015
OTANCHE;0,336526;2015
OTANCHE;0,088958;2015
OTANCHE;2,079847;2015
OTANCHE;0,758106;2015
OTANCHE;0,056967;2015
OTANCHE;0,060909;2015
OTANCHE;0,06091;2015
OTANCHE;0,06091;2015
OTANCHE;0,06091;2015
OTANCHE;0,516456;2015
OTANCHE;1,49546;2015
OTANCHE;0,060911;2015
OTANCHE;0,121464;2015
OTANCHE;0,825582;2015
OTANCHE;0,629487;2015
OTANCHE;0,060911;2015
OTANCHE;0,121464;2015
OTANCHE;0,060911;2015
OTANCHE;0,121465;2015
OTANCHE;0,183629;2015
OTANCHE;0,121466;2015
OTANCHE;0,121466;2015
OTANCHE;0,060912;2015
OTANCHE;0,452266;2015
OTANCHE;0,120071;2015
OTANCHE;0,12007;2015
OTANCHE;0,121468;2015
OTANCHE;0,206102;2015
OTANCHE;0,060913;2015
OTANCHE;0,060913;2015
OTANCHE;0,120072;2015
OTANCHE;0,12147;2015
OTANCHE;0,120074;2015
OTANCHE;0,272962;2015
OTANCHE;0,121471;2015
OTANCHE;0,194966;2015
OTANCHE;0,060915;2015
OTANCHE;2,944975;2015
OTANCHE;0,463234;2015
OTANCHE;0,210759;2015
OTANCHE;0,340691;2015
OTANCHE;0,194966;2015
OTANCHE;0,121473;2015
OTANCHE;0,120076;2015
OTANCHE;0,414715;2015
OTANCHE;0,060916;2015
OTANCHE;0,060916;2015
OTANCHE;0,120083;2015
OTANCHE;0,183654;2015
OTANCHE;0,06092;2015
OTANCHE;0,494695;2015
OTANCHE;0,268731;2015
OTANCHE;0,121484;2015
OTANCHE;0,120089;2015
OTANCHE;0,121486;2015
OTANCHE;1,051379;2015
OTANCHE;0,121488;2015
OTANCHE;0,120091;2015
OTANCHE;0,274748;2015
OTANCHE;0,195004;2015
PACHAVITA;0,060983;2015
P¡EZ;0,121648;2015
P¡EZ;0,422064;2015
PAIPA;0,247842;2015
PAIPA;0,060909;2015
PAIPA;0,060915;2015
PAIPA;0,206109;2015
PAIPA;0,060915;2015
PAIPA;0,826092;2015
PAIPA;0,060915;2015
PAIPA;0,16022;2015
PAIPA;0,12149;2015
PAIPA;0,463542;2015
PAIPA;0,12149;2015
PAIPA;0,060916;2015
PAIPA;0,121491;2015
PAIPA;0,178361;2015
PAIPA;0,060922;2015
PAIPA;0,060922;2015
PAIPA;0,121501;2015
PAIPA;0,060922;2015
PAIPA;0,060922;2015
PAIPA;0,060922;2015
PAIPA;0,121499;2015
PAIPA;0,060921;2015
PAIPA;0,517464;2015
PAIPA;0,060922;2015
PAIPA;0,060922;2015
PAIPA;1,723732;2015
PAIPA;0,183694;2015
PAIPA;0,121503;2015
PAIPA;0,060924;2015
PAIPA;0,300297;2015
PAIPA;0,338656;2015
PAIPA;0,121506;2015
PAIPA;0,121504;2015
PAIPA;0,121509;2015
PAIPA;0,121509;2015
PAIPA;0,120096;2015
PAIPA;0,060923;2015
PAIPA;0,178385;2015
PAIPA;0,239125;2015
PAIPA;0,120105;2015
PAIPA;0,121512;2015
PAIPA;0,060928;2015
PAIPA;0,120107;2015
PAIPA;0,12152;2015
PAIPA;0,210809;2015
PAIPA;0,060934;2015
PAIPA;0,116711;2015
PAJARITO;0,121625;2015
PAJARITO;0,121625;2015
PAJARITO;0,316645;2015
PAJARITO;0,060984;2015
PAJARITO;0,124251;2015
PAJARITO;0,209144;2015
PAJARITO;1,749529;2015
PAJARITO;0,060984;2015
PAJARITO;1,558129;2015
PAUNA;0,121462;2015
PAUNA;0,561079;2015
PAUNA;0,060906;2015
PAUNA;0,120064;2015
PAUNA;0,206087;2015
PAUNA;0,121469;2015
PAUNA;0,208773;2015
PAUNA;0,315024;2015
PAUNA;0,338607;2015
PAUNA;0,060916;2015
PAUNA;0,121484;2015
PAUNA;0,707436;2015
PAUNA;0,060917;2015
PAUNA;0,060917;2015
PAUNA;0,54718;2015
PAUNA;0,194954;2015
PAUNA;0,183643;2015
PAUNA;0,403958;2015
PAUNA;0,060918;2015
PAUNA;0,533827;2015
PAUNA;0,056975;2015
PAUNA;0,088971;2015
PAUNA;0,060918;2015
PAUNA;2,340995;2015
PAUNA;1,548126;2015
PAUNA;0,060918;2015
PAUNA;1,218061;2015
PAUNA;0,121494;2015
PAUNA;0,121494;2015
PAUNA;1,059743;2015
PAUNA;0,247888;2015
PAUNA;0,533832;2015
PAUNA;0,060918;2015
PAUNA;0,060919;2015
PAUNA;0,120089;2015
PAUNA;0,206129;2015
PAUNA;0,121494;2015
PAUNA;0,465837;2015
PAUNA;0,060923;2015
PAUNA;0,120097;2015
PAYA;0,534235;2015
PAYA;0,120188;2015
PAYA;0,668772;2015
PAYA;0,178478;2015
PAYA;0,12159;2015
PAYA;0,573519;2015
PAYA;0,120192;2015
PAYA;1,400036;2015
PAYA;0,121593;2015
PAYA;0,549932;2015
PAYA;0,183774;2015
PAYA;0,121595;2015
PAYA;0,121595;2015
PAYA;0,120194;2015
PAYA;0,060935;2015
PAYA;0,120209;2015
PAYA;0,120212;2015
PAYA;0,890454;2015
PAYA;0,211008;2015
PAYA;0,120192;2015
PAYA;0,060932;2015
PAYA;0,060932;2015
PAYA;0,300516;2015
PAYA;0,12019;2015
PAYA;0,210981;2015
PAYA;1,123256;2015
PAYA;0,121608;2015
PAYA;0,121608;2015
PAYA;1,052011;2015
PAYA;0,494578;2015
PAYA;1,44242;2015
PAYA;0,121605;2015
PAYA;0,268428;2015
PAYA;0,183842;2015
PAYA;0,120214;2015
PAYA;0,392106;2015
PAYA;1,109123;2015
PAYA;0,293199;2015
PAYA;1,55439;2015
PAYA;0,060942;2015
PAYA;0,239299;2015
PAYA;0,060942;2015
PAYA;0,415097;2015
PAYA;0,402908;2015
PAYA;0,12161;2015
PAYA;0,12161;2015
PAYA;0,060941;2015
PAYA;0,121622;2015
PAYA;0,060951;2015
PAYA;0,679237;2015
PAYA;0,392073;2015
PAYA;0,121623;2015
PAYA;0,292202;2015
PAYA;0,195179;2015
PAYA;0,64069;2015
PAZ DE RÕO;0,194936;2015
PAZ DE RÕO;0,120073;2015
PESCA;0,060945;2015
PESCA;0,121551;2015
PESCA;0,060947;2015
PESCA;0,17845;2015
PESCA;0,12015;2015
PISBA;0,239173;2015
PISBA;0,788617;2015
PISBA;0,060926;2015
PISBA;0,120169;2015
PISBA;0,206285;2015
PISBA;0,06093;2015
PISBA;0,120183;2015
PISBA;0,060929;2015
PISBA;0,195111;2015
PUERTO BOYAC¡;0,060862;2015
PUERTO BOYAC¡;0,060866;2015
PUERTO BOYAC¡;0,060866;2015
PUERTO BOYAC¡;0,120008;2015
PUERTO BOYAC¡;0,060867;2015
PUERTO BOYAC¡;0,06087;2015
PUERTO BOYAC¡;0,809896;2015
PUERTO BOYAC¡;0,198123;2015
PUERTO BOYAC¡;0,341399;2015
PUERTO BOYAC¡;0,120011;2015
PUERTO BOYAC¡;0,121384;2015
PUERTO BOYAC¡;0,060871;2015
PUERTO BOYAC¡;0,120013;2015
PUERTO BOYAC¡;0,060869;2015
PUERTO BOYAC¡;0,377999;2015
PUERTO BOYAC¡;0,121396;2015
PUERTO BOYAC¡;0,238868;2015
PUERTO BOYAC¡;0,284378;2015
PUERTO BOYAC¡;0,120018;2015
PUERTO BOYAC¡;0,060873;2015
PUERTO BOYAC¡;0,23888;2015
PUERTO BOYAC¡;0,12139;2015
PUERTO BOYAC¡;0,060872;2015
PUERTO BOYAC¡;0,861205;2015
PUERTO BOYAC¡;0,194814;2015
PUERTO BOYAC¡;0,060872;2015
PUERTO BOYAC¡;0,060872;2015
PUERTO BOYAC¡;2,355727;2015
PUERTO BOYAC¡;1,195689;2015
PUERTO BOYAC¡;0,183513;2015
PUERTO BOYAC¡;0,578786;2015
PUERTO BOYAC¡;0,194819;2015
PUERTO BOYAC¡;0,120019;2015
PUERTO BOYAC¡;0,060873;2015
PUERTO BOYAC¡;0,183514;2015
PUERTO BOYAC¡;0,208789;2015
PUERTO BOYAC¡;0,904206;2015
PUERTO BOYAC¡;0,8002;2015
PUERTO BOYAC¡;0,121401;2015
PUERTO BOYAC¡;0,12003;2015
PUERTO BOYAC¡;0,121395;2015
PUERTO BOYAC¡;0,714183;2015
PUERTO BOYAC¡;0,121397;2015
PUERTO BOYAC¡;0,060878;2015
PUERTO BOYAC¡;0,239871;2015
PUERTO BOYAC¡;2,211354;2015
PUERTO BOYAC¡;0,121401;2015
PUERTO BOYAC¡;0,194836;2015
PUERTO BOYAC¡;0,238901;2015
PUERTO BOYAC¡;0,120031;2015
PUERTO BOYAC¡;0,375056;2015
PUERTO BOYAC¡;0,121403;2015
PUERTO BOYAC¡;0,524798;2015
PUERTO BOYAC¡;0,756427;2015
PUERTO BOYAC¡;1,161401;2015
PUERTO BOYAC¡;0,701711;2015
PUERTO BOYAC¡;0,210646;2015
PUERTO BOYAC¡;0,208676;2015
PUERTO BOYAC¡;0,208675;2015
PUERTO BOYAC¡;0,120042;2015
PUERTO BOYAC¡;0,060883;2015
PUERTO BOYAC¡;0,19486;2015
PUERTO BOYAC¡;0,206009;2015
PUERTO BOYAC¡;2,150365;2015
